app,mutator,file,line,col,stage2,build_ok,baseline_median_s,baseline_iqr_s,baseline_n,mutant_median_s,mutant_iqr_s,mutant_n,early_stop,any_timeout,delta_s,delta_pct,threshold_s,o3_verdict,baseline_maxrss_kb,mutant_maxrss_kb,rss_delta_pct,baseline_stmt_lines,mutant_stmt_lines,stmt_lines_differ,baseline_vecinsn,mutant_vecinsn,vecinsn_differ,baseline_text_bytes,mutant_text_bytes,text_bytes_delta_pct,note,_src
hist,Halide_vectorize_to_parallel,hist_generator.cpp,182,22,OK,1,1.73023,0.20277,21,2.09307,0.13002,9,,,0.36284,20.97,0.60831,SURVIVED_O3,28328,29960,5.76,308,316,1,4343,4299,1,232334,232078,-0.11,,results-B.csv
hist,Halide_vectorize_to_parallel,hist_generator.cpp,186,22,OK,1,1.73023,0.20277,21,1.67919,0.27974,9,,,-0.05104,-2.95,0.60831,SURVIVED_O3,28328,31964,12.84,308,323,1,4343,4343,0,232334,232558,0.10,,results-B.csv
hist,Halide_vectorize_to_parallel,hist_generator.cpp,189,22,OK,1,1.73023,0.20277,21,1.62394,0.23943,9,,,-0.10629,-6.14,0.60831,SURVIVED_O3,28328,32072,13.22,308,319,1,4343,4355,1,232334,232590,0.11,,results-B.csv
hist,Halide_vectorize_to_parallel,hist_generator.cpp,194,22,OK,1,1.73023,0.20277,21,1.71904,0.11247,9,,,-0.01119,-0.65,0.60831,SURVIVED_O3,28328,29112,2.77,308,318,1,4343,4351,1,232334,232494,0.07,,results-B.csv
hist,Halide_vectorize_to_parallel,hist_generator.cpp,197,22,OK,1,1.73023,0.20277,21,1.72255,0.39212,9,,,-0.00769,-0.44,0.60831,SURVIVED_O3,28328,29196,3.06,308,325,1,4343,4311,1,232334,232558,0.10,,results-B.csv
hist,Halide_vectorize_to_parallel,hist_generator.cpp,207,22,OK,1,1.73023,0.20277,21,2.00658,0.22729,9,,,0.27634,15.97,0.60831,SURVIVED_O3,28328,28272,-0.20,308,301,1,4343,3335,1,232334,229390,-1.27,,results-B.csv
max_filter,Halide_vectorize_to_parallel,max_filter_generator.cpp,106,22,OK,1,1.22909,0.22802,21,4.84290,0.51375,9,,,3.61382,294.02,0.68405,KILLED_O3,313992,514416,63.83,280,294,1,3858,3854,1,229999,230159,0.07,,results-B.csv
conv_layer,Halide_parallel_to_unroll,conv_layer_generator.cpp,178,18,OK,1,6.94235,1.31966,21,6.90616,0.46349,9,,,-0.03618,-0.52,3.95898,SURVIVED_O3,39936,39936,0.00,507,22122,1,1894,52030,1,89165,295117,230.98,,results-C.csv
conv_layer,Halide_parallel_to_unroll,conv_layer_generator.cpp,179,18,OK,1,6.94235,1.31966,21,8.34979,1.18881,9,,,1.40745,20.27,3.95898,SURVIVED_O3,39936,39936,0.00,507,1661,1,1894,4510,1,89165,102061,14.46,,results-C.csv
conv_layer,Halide_parallel_to_unroll,conv_layer_generator.cpp,180,18,OK,1,6.94235,1.31966,21,7.83044,1.80733,9,,,0.88809,12.79,3.95898,SURVIVED_O3,39936,39936,0.00,507,1145,1,1894,3222,1,89165,96045,7.72,,results-C.csv
bilateral_grid,Halide_parallel_to_unroll,bilateral_grid_generator.cpp,149,18,OK,1,2.11939,0.00584,21,8.04368,0.06211,9,,,5.92429,279.53,0.04239,KILLED_O3,45052,44000,-2.34,515,658,1,7026,28816,1,248969,325193,30.62,,results-D.csv
bilateral_grid,Halide_parallel_to_vectorize,bilateral_grid_generator.cpp,149,18,OK,1,2.11939,0.00584,21,9.47536,0.05329,9,,,7.35597,347.08,0.04239,KILLED_O3,45052,44940,-0.25,515,524,1,7026,31330,1,248969,357321,43.52,,results-D.csv
bilateral_grid,Halide_unroll_to_parallel,bilateral_grid_generator.cpp,132,18,OK,1,2.11939,0.00584,21,13.23358,4.71342,9,,,11.11419,524.41,0.04239,KILLED_O3,45052,54620,21.24,515,543,1,7026,6986,1,248969,248041,-0.37,,results-D.csv
bilateral_grid,Halide_unroll_to_parallel,bilateral_grid_generator.cpp,141,18,OK,1,2.11939,0.00584,21,18.75858,4.98938,9,,,16.63919,785.09,0.04239,KILLED_O3,45052,50456,12.00,515,516,1,7026,6950,1,248969,248553,-0.17,,results-D.csv
nl_means,Halide_unroll_to_parallel,nl_means_generator.cpp,146,18,OK,1,3.00556,0.09959,21,4.30752,0.92736,4,1,0,1.30196,43.32,0.29876,KILLED_O3,113968,127276.0,11.68,1028,1052,1,6394,6212,1,265233,266225,0.37,;early_stop,results-C2.csv
max_filter,Halide_vectorize_to_parallel,max_filter_generator.cpp,108,26,OK,1,1.20302,0.05004,21,9.62415,0.00000,4,1,1,8.42113,700.00,0.15013,KILLED_O3,313992,0.0,-100.00,280,326,1,3858,3442,1,229999,229295,-0.31,timeout-capped;early_stop,results-D2.csv
conv_layer,Halide_parallel_to_vectorize,conv_layer_generator.cpp,179,18,OK,1,6.91160,2.27488,21,31.37994,0.27556,4,1,0,24.46834,354.02,6.82464,KILLED_O3,39936,39936.0,0.00,507,497,1,1894,30478,1,89165,185997,108.60,;early_stop,results-A3.csv
depthwise_separable_conv,Halide_vectorize_to_parallel,depthwise_separable_conv_generator.cpp,252,18,OK,1,0.60131,0.20037,21,5.00000,0.00000,4,1,1,4.39869,731.51,0.60110,KILLED_O3,19828,0.0,-100.00,672,924,1,6054,5440,1,131032,132568,1.17,timeout-capped;early_stop,results-A3.csv
depthwise_separable_conv,Halide_vectorize_to_parallel,depthwise_separable_conv_generator.cpp,261,18,OK,1,0.60131,0.20037,21,0.75228,0.35098,9,0,0,0.15096,25.11,0.60110,SURVIVED_O3,19828,20048,1.11,672,699,1,6054,5568,1,131032,130904,-0.10,,results-A3.csv
depthwise_separable_conv,Halide_vectorize_to_parallel,depthwise_separable_conv_generator.cpp,266,18,OK,1,0.60131,0.20037,21,3.88216,1.10170,4,1,0,3.28084,545.61,0.60110,KILLED_O3,19828,20048.0,1.11,672,735,1,6054,2876,1,131032,118392,-9.65,;early_stop,results-A3.csv
depthwise_separable_conv,Halide_vectorize_to_parallel,depthwise_separable_conv_generator.cpp,275,18,OK,1,0.60131,0.20037,21,5.00000,0.00000,4,1,1,4.39869,731.51,0.60110,KILLED_O3,19828,0.0,-100.00,672,872,1,6054,5474,1,131032,133304,1.73,timeout-capped;early_stop,results-A3.csv
depthwise_separable_conv,Halide_vectorize_to_unroll,depthwise_separable_conv_generator.cpp,240,18,OK,1,0.60131,0.20037,21,0.45130,0.17536,9,0,0,-0.15001,-24.95,0.60110,SURVIVED_O3,19828,20048,1.11,672,852,1,6054,5986,1,131032,130200,-0.63,,results-A3.csv
depthwise_separable_conv,Halide_vectorize_to_unroll,depthwise_separable_conv_generator.cpp,247,18,OK,1,0.60131,0.20037,21,0.45115,0.12524,9,0,0,-0.15016,-24.97,0.60110,SURVIVED_O3,19828,20048,1.11,672,852,1,6054,6054,0,131032,130360,-0.51,,results-A3.csv
depthwise_separable_conv,Halide_vectorize_to_unroll,depthwise_separable_conv_generator.cpp,252,18,OK,1,0.60131,0.20037,21,0.45124,0.17536,9,0,0,-0.15007,-24.96,0.60110,SURVIVED_O3,19828,20048,1.11,672,942,1,6054,6054,0,131032,131000,-0.02,,results-A3.csv
depthwise_separable_conv,Halide_vectorize_to_unroll,depthwise_separable_conv_generator.cpp,261,18,OK,1,0.60131,0.20037,21,0.40137,0.12542,9,0,0,-0.19995,-33.25,0.60110,SURVIVED_O3,19828,20048,1.11,672,942,1,6054,5722,1,131032,130040,-0.76,,results-A3.csv
